TransactionDate,Representative,BioGuideID,ReportDate,Ticker,Transaction,Range,House,Amount,Party,last_modified
2016-09-19,RAÚL M. GRIJALVA,G000551,2016-09-28,BTO,SALE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-09-19,RAÚL M. GRIJALVA,G000551,2016-09-28,LLY,SALE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-09-19,RAÚL M. GRIJALVA,G000551,2016-09-28,HQL,SALE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-09-19,RAÚL M. GRIJALVA,G000551,2016-09-28,UL,SALE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-09-19,RAÚL M. GRIJALVA,G000551,2016-09-28,PFE,SALE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-09-19,RAÚL M. GRIJALVA,G000551,2016-09-28,MYL,SALE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-09-19,RAÚL M. GRIJALVA,G000551,2016-09-28,WY,SALE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-09-19,DEBBIE WASSERMAN SCHULTZ,W000797,2016-10-18,ASPN,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-09-19,RAÚL M. GRIJALVA,G000551,2016-09-28,AAPL,SALE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-09-19,RAÚL M. GRIJALVA,G000551,2016-09-28,V,SALE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-09-20,RAÚL M. GRIJALVA,G000551,2016-10-05,VOT,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-09-20,RAÚL M. GRIJALVA,G000551,2016-10-05,SPY,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-09-20,RAÚL M. GRIJALVA,G000551,2016-10-05,FVD,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-09-21,ALAN S. LOWENTHAL,L000579,2016-09-22,BRK.B,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-09-21,LOIS FRANKEL,F000462,2016-10-21,JPM,SALE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-09-21,LOIS FRANKEL,F000462,2016-10-21,WFC,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-09-22,SHELDON WHITEHOUSE,W000802,2016-10-07,DIS,PURCHASE,8000.5,SENATE,1001.0,D,2023-08-28
2016-09-22,JOHN F. REED,R000122,2016-10-05,TMO,PURCHASE,8000.5,SENATE,1001.0,D,2023-08-28
2016-09-22,SHELDON WHITEHOUSE,W000802,2016-10-07,WEC,SALE (FULL),8000.5,SENATE,1001.0,D,2023-08-28
2016-09-22,JOHN F. REED,R000122,2016-10-05,DHR,PURCHASE,8000.5,SENATE,1001.0,D,2023-08-28
2016-09-22,SHELDON WHITEHOUSE,W000802,2016-10-07,SO,SALE (FULL),8000.5,SENATE,1001.0,D,2023-08-28
2016-09-26,THOMAS R. CARPER,C000174,2016-10-04,MDT,SALE (FULL),8000.5,SENATE,1001.0,D,2023-08-28
2016-09-26,SHELDON WHITEHOUSE,W000802,2016-10-07,MAR,EXCHANGE,8000.5,SENATE,1001.0,D,2023-08-28
2016-09-27,DEBBIE WASSERMAN SCHULTZ,W000797,2016-10-18,CMTL,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-09-28,SHELDON WHITEHOUSE,W000802,2016-10-07,MCK,PURCHASE,8000.5,SENATE,1001.0,D,2023-08-28
2016-09-28,LOIS FRANKEL,F000462,2016-10-21,JCI,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-09-28,LOIS FRANKEL,F000462,2016-10-21,NOC,SALE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-09-28,LOIS FRANKEL,F000462,2016-10-21,UTX,SALE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-09-28,SHELDON WHITEHOUSE,W000802,2016-10-07,WM,PURCHASE,8000.5,SENATE,1001.0,D,2023-08-28
2016-09-28,SHELDON WHITEHOUSE,W000802,2016-10-07,EL,PURCHASE,8000.5,SENATE,1001.0,D,2023-08-28
2016-09-28,SHELDON WHITEHOUSE,W000802,2016-10-07,BA,PURCHASE,8000.5,SENATE,1001.0,D,2023-08-28
2016-09-28,SHELDON WHITEHOUSE,W000802,2016-10-07,VOD,SALE (FULL),8000.5,SENATE,1001.0,D,2023-08-28
2016-09-28,SHELDON WHITEHOUSE,W000802,2016-10-07,FB,PURCHASE,8000.5,SENATE,1001.0,D,2023-08-28
2016-09-29,LOIS FRANKEL,F000462,2016-10-21,PPL,PURCHASE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
2016-09-30,GARY PETERS,P000595,2016-10-18,VZ,PURCHASE,8000.5,SENATE,1001.0,D,2023-08-28
2016-09-30,ALAN S. LOWENTHAL,L000579,2016-10-15,LDOS,SALE,8000.5,REPRESENTATIVES,1001.0,D,2023-11-16
