Representative,BioGuideID,TransactionDate,Ticker,Transaction,Range,House,Amount,Party
Virginia Foxx,F000450,2022-08-22,VGR,Purchase,"$1,001 - $15,000",Representatives,1001.0,R
Richard W. Allen,A000372,2022-08-19,912796XQ7,Purchase,"$15,001 - $50,000",Representatives,15001.0,R
Debbie Wasserman Schultz,W000797,2022-08-19,XLE,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Debbie Wasserman Schultz,W000797,2022-08-19,XLE,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Debbie Wasserman Schultz,W000797,2022-08-19,XLE,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Virginia Foxx,F000450,2022-08-19,AA,Purchase,"$1,001 - $15,000",Representatives,1001.0,R
Virginia Foxx,F000450,2022-08-19,GOGL,Purchase,"$1,001 - $15,000",Representatives,1001.0,R
Virginia Foxx,F000450,2022-08-19,T$A,Purchase,"$1,001 - $15,000",Representatives,1001.0,R
Virginia Foxx,F000450,2022-08-19,SJT,Purchase,"$1,001 - $15,000",Representatives,1001.0,R
Bill Hagerty,H000601,2022-08-19,BKEPP,Sale (Full),"$15,001 - $50,000",Senate,15001.0,R
Thomas R. Carper,C000174,2022-08-18,SQM,Purchase,"$1,001 - $15,000",Senate,1001.0,D
Kevin Hern,H001082,2022-08-18,CDNS,Purchase,"$15,001 - $50,000",Representatives,15001.0,R
Richard W. Allen,A000372,2022-08-18,912796XQ7,Purchase,"$100,001 - $250,000",Representatives,100001.0,R
Steve Cohen,C001068,2022-08-18,OZKAP,Purchase,"$15,001 - $50,000",Representatives,15001.0,D
Virginia Foxx,F000450,2022-08-18,GOGL,Purchase,"$1,001 - $15,000",Representatives,1001.0,R
Richard W. Allen,A000372,2022-08-18,AMGN,Purchase,"$15,001 - $50,000",Representatives,15001.0,R
Tommy Tuberville,T000278,2022-08-18,MRO,Purchase,"$1,001 - $15,000",Senate,1001.0,R
Richard W. Allen,A000372,2022-08-18,CB,Purchase,"$15,001 - $50,000",Representatives,15001.0,R
Thomas R. Carper,C000174,2022-08-18,FAST,Sale (Full),"$1,001 - $15,000",Senate,1001.0,D
James R. Langevin,L000559,2022-08-17,DASH,Purchase,"$15,001 - $50,000",Representatives,15001.0,D
Josh Gottheimer,G000583,2022-08-17,MSFT,Purchase,"$100,001 - $250,000",Representatives,100001.0,D
Josh Gottheimer,G000583,2022-08-17,MSFT,Sale,"$100,001 - $250,000",Representatives,100001.0,D
Josh Gottheimer,G000583,2022-08-17,MSFT,Sale,"$100,001 - $250,000",Representatives,100001.0,D
Josh Gottheimer,G000583,2022-08-17,SHW,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Virginia Foxx,F000450,2022-08-17,VGR,Purchase,"$1,001 - $15,000",Representatives,1001.0,R
Debbie Wasserman Schultz,W000797,2022-08-17,HIL,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Debbie Wasserman Schultz,W000797,2022-08-17,HIL,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Virginia Foxx,F000450,2022-08-17,GOGL,Purchase,"$1,001 - $15,000",Representatives,1001.0,R
Kevin Hern,H001082,2022-08-17,CTRA,Purchase,"$15,001 - $50,000",Representatives,15001.0,R
Debbie Wasserman Schultz,W000797,2022-08-17,HIL,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Kevin Hern,H001082,2022-08-16,TXN,Purchase,"$1,001 - $15,000",Representatives,1001.0,R
Lloyd Doggett,D000399,2022-08-16,PG,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Virginia Foxx,F000450,2022-08-16,GSK,Purchase,"$1,001 - $15,000",Representatives,1001.0,R
Josh Gottheimer,G000583,2022-08-16,LOW,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Mark Dr Green,G000590,2022-08-15,ET,Sale,"$50,001 - $100,000",Representatives,50001.0,R
Kevin Hern,H001082,2022-08-15,OKE,Purchase,"$1,001 - $15,000",Representatives,1001.0,R
Earl Blumenauer,B000574,2022-08-15,NWN,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Kevin Hern,H001082,2022-08-15,ACN,Purchase,"$1,001 - $15,000",Representatives,1001.0,R
Richard W. Allen,A000372,2022-08-15,DIS,Sale,"$15,001 - $50,000",Representatives,15001.0,R
Cindy Axne,A000378,2022-08-12,LBRDA,Sale,"$1,001 - $15,000",Representatives,1001.0,D
John Curtis,C001114,2022-08-12,SBUX,Purchase,"$1,001 - $15,000",Representatives,1001.0,R
John Curtis,C001114,2022-08-12,AZO,Purchase,"$1,001 - $15,000",Representatives,1001.0,R
Kevin Hern,H001082,2022-08-12,MMP,Purchase,"$1,001 - $15,000",Representatives,1001.0,R
Michael Garcia,G000061,2022-08-12,AMC,Sale,"$1,001 - $15,000",Representatives,1001.0,R
Josh Gottheimer,G000583,2022-08-12,ADP,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Tommy Tuberville,T000278,2022-08-12,X,Purchase,"$1,001 - $15,000",Senate,1001.0,R
John Curtis,C001114,2022-08-12,SYY,Purchase,"$1,001 - $15,000",Representatives,1001.0,R
Josh Gottheimer,G000583,2022-08-11,MSFT,Purchase,"$250,001 - $500,000",Representatives,250001.0,D
Josh Gottheimer,G000583,2022-08-11,MSFT,Sale,"$250,001 - $500,000",Representatives,250001.0,D
Josh Gottheimer,G000583,2022-08-11,MSFT,Sale,"$250,001 - $500,000",Representatives,250001.0,D
Josh Gottheimer,G000583,2022-08-11,MSFT,Purchase,"$1,000,001 - $5,000,000",Representatives,1000001.0,D
Josh Gottheimer,G000583,2022-08-11,MSFT,Purchase,"$250,001 - $500,000",Representatives,250001.0,D
Josh Gottheimer,G000583,2022-08-11,MSFT,Purchase,"$1,000,001 - $5,000,000",Representatives,1000001.0,D
Josh Gottheimer,G000583,2022-08-11,UNH,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Josh Gottheimer,G000583,2022-08-11,MSFT,Purchase,"$1,000,001 - $5,000,000",Representatives,1000001.0,D
Josh Gottheimer,G000583,2022-08-11,MSFT,Sale,"$1,000,001 - $5,000,000",Representatives,1000001.0,D
Josh Gottheimer,G000583,2022-08-11,MSFT,Purchase,"$250,001 - $500,000",Representatives,250001.0,D
Virginia Foxx,F000450,2022-08-11,SJT,Purchase,"$1,001 - $15,000",Representatives,1001.0,R
Josh Gottheimer,G000583,2022-08-11,MSFT,Sale,"$1,000,001 - $5,000,000",Representatives,1000001.0,D
Josh Gottheimer,G000583,2022-08-11,MSFT,Sale,"$250,001 - $500,000",Representatives,250001.0,D
Josh Gottheimer,G000583,2022-08-11,MSFT,Sale,"$1,000,001 - $5,000,000",Representatives,1000001.0,D
Josh Gottheimer,G000583,2022-08-11,CCXI,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Josh Gottheimer,G000583,2022-08-11,BX,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Josh Gottheimer,G000583,2022-08-11,BCRX,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
John Hickenlooper,H000273,2022-08-11,FWONK,Sale (Partial),"$50,001 - $100,000",Senate,50001.0,D
James R. Langevin,L000559,2022-08-10,SQ,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Thomas R. Carper,C000174,2022-08-10,CDL,Purchase,"$1,001 - $15,000",Senate,1001.0,D
Thomas R. Carper,C000174,2022-08-10,MOO,Sale (Partial),"$1,001 - $15,000",Senate,1001.0,D
Thomas R. Carper,C000174,2022-08-10,SMDV,Purchase,"$1,001 - $15,000",Senate,1001.0,D
Thomas R. Carper,C000174,2022-08-10,EFAD,Purchase,"$1,001 - $15,000",Senate,1001.0,D
Thomas R. Carper,C000174,2022-08-10,FDRR,Purchase,"$1,001 - $15,000",Senate,1001.0,D
Thomas R. Carper,C000174,2022-08-10,JHMM,Purchase,"$1,001 - $15,000",Senate,1001.0,D
Thomas R. Carper,C000174,2022-08-10,CIBR,Sale (Partial),"$1,001 - $15,000",Senate,1001.0,D
Thomas R. Carper,C000174,2022-08-10,LUBYX,Purchase,"$1,001 - $15,000",Senate,1001.0,D
Thomas R. Carper,C000174,2022-08-10,KRE,Sale (Full),"$1,001 - $15,000",Senate,1001.0,D
Thomas R. Carper,C000174,2022-08-10,CEF,Sale (Partial),"$1,001 - $15,000",Senate,1001.0,D
Thomas R. Carper,C000174,2022-08-10,EELV,Purchase,"$1,001 - $15,000",Senate,1001.0,D
Thomas R. Carper,C000174,2022-08-10,GDXJ,Sale (Full),"$1,001 - $15,000",Senate,1001.0,D
Thomas R. Carper,C000174,2022-08-10,LDP,Sale (Partial),"$1,001 - $15,000",Senate,1001.0,D
Thomas R. Carper,C000174,2022-08-10,DGRS,Sale (Full),"$1,001 - $15,000",Senate,1001.0,D
Thomas R. Carper,C000174,2022-08-10,QTEC,Sale (Full),"$1,001 - $15,000",Senate,1001.0,D
Thomas R. Carper,C000174,2022-08-10,IVV,Sale (Full),"$1,001 - $15,000",Senate,1001.0,D
Thomas R. Carper,C000174,2022-08-10,GNR,Sale (Partial),"$1,001 - $15,000",Senate,1001.0,D
Alan S. Lowenthal,L000579,2022-08-10,CCK,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Thomas R. Carper,C000174,2022-08-10,CFA,Sale (Partial),"$1,001 - $15,000",Senate,1001.0,D
Steve Cohen,C001068,2022-08-10,MS$P,Purchase,"$50,001 - $100,000",Representatives,50001.0,D
Thomas R. Carper,C000174,2022-08-10,JHEM,Purchase,"$1,001 - $15,000",Senate,1001.0,D
Thomas R. Carper,C000174,2022-08-10,LGI,Sale (Partial),"$1,001 - $15,000",Senate,1001.0,D
Thomas R. Carper,C000174,2022-08-10,GSIMX,Purchase,"$1,001 - $15,000",Senate,1001.0,D
Thomas R. Carper,C000174,2022-08-10,FQAL,Purchase,"$1,001 - $15,000",Senate,1001.0,D
Thomas R. Carper,C000174,2022-08-10,GLD,Sale (Full),"$1,001 - $15,000",Senate,1001.0,D
Thomas R. Carper,C000174,2022-08-10,FCPIX,Sale (Full),"$1,001 - $15,000",Senate,1001.0,D
Robert J. Wittman,W000804,2022-08-10,GOOG,Purchase,"$1,001 - $15,000",Representatives,1001.0,R
Thomas R. Carper,C000174,2022-08-10,MBXIX,Purchase,"$1,001 - $15,000",Senate,1001.0,D
Lois Frankel,F000462,2022-08-10,TGT,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Thomas R. Carper,C000174,2022-08-10,GSSC,Purchase,"$1,001 - $15,000",Senate,1001.0,D
James R. Langevin,L000559,2022-08-10,ABNB,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Thomas R. Carper,C000174,2022-08-10,IJS,Sale (Full),"$1,001 - $15,000",Senate,1001.0,D
Thomas R. Carper,C000174,2022-08-10,GSMYX,Sale (Full),"$1,001 - $15,000",Senate,1001.0,D
Lois Frankel,F000462,2022-08-10,CL,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Robert J. Wittman,W000804,2022-08-10,AMZN,Purchase,"$1,001 - $15,000",Representatives,1001.0,R
Robert J. Wittman,W000804,2022-08-10,MSFT,Purchase,"$1,001 - $15,000",Representatives,1001.0,R
Virginia Foxx,F000450,2022-08-10,GSK,Purchase,"$15,001 - $50,000",Representatives,15001.0,R
James R. Langevin,L000559,2022-08-10,DASH,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Thomas R. Carper,C000174,2022-08-10,SPGP,Purchase,"$1,001 - $15,000",Senate,1001.0,D
Thomas R. Carper,C000174,2022-08-10,WIW,Sale (Partial),"$1,001 - $15,000",Senate,1001.0,D
Thomas R. Carper,C000174,2022-08-10,SRVR,Sale (Partial),"$1,001 - $15,000",Senate,1001.0,D
Thomas R. Carper,C000174,2022-08-10,FINX,Sale (Full),"$1,001 - $15,000",Senate,1001.0,D
Thomas R. Carper,C000174,2022-08-10,PRF,Purchase,"$1,001 - $15,000",Senate,1001.0,D
Josh Gottheimer,G000583,2022-08-10,RPD,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Virginia Foxx,F000450,2022-08-09,GSK,Purchase,"$1,001 - $15,000",Representatives,1001.0,R
John Hickenlooper,H000273,2022-08-09,FWONK,Purchase,"$15,001 - $50,000",Senate,15001.0,D
Virginia Foxx,F000450,2022-08-09,GPP,Purchase,"$1,001 - $15,000",Representatives,1001.0,R
James R. Langevin,L000559,2022-08-09,SQ,Purchase,"$50,001 - $100,000",Representatives,50001.0,D
Thomas R. Carper,C000174,2022-08-09,FIASX,Sale (Full),"$15,001 - $50,000",Senate,15001.0,D
Carol Devine Miller,M001205,2022-08-08,EMR,Sale,"$15,001 - $50,000",Representatives,15001.0,R
Carol Devine Miller,M001205,2022-08-08,UPS,Purchase,"$15,001 - $50,000",Representatives,15001.0,R
Seth Moulton,M001196,2022-08-08,AMZN,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Virginia Foxx,F000450,2022-08-08,NFG,Purchase,"$1,001 - $15,000",Representatives,1001.0,R
Carol Devine Miller,M001205,2022-08-08,TGT,Purchase,"$15,001 - $50,000",Representatives,15001.0,R
Kathy Manning,M001135,2022-08-05,AVGO,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Josh Gottheimer,G000583,2022-08-05,ROK,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Tommy Tuberville,T000278,2022-08-05,INTC,Purchase,"$1,001 - $15,000",Senate,1001.0,R
Kathy Manning,M001135,2022-08-05,GOOGL,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Kathy Manning,M001135,2022-08-05,GOOG,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Virginia Foxx,F000450,2022-08-05,VGR,Purchase,"$15,001 - $50,000",Representatives,15001.0,R
Tommy Tuberville,T000278,2022-08-05,INTC,Purchase,"$100,001 - $250,000",Senate,100001.0,R
Dwight Evans,E000296,2022-08-05,ABBV,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Josh Gottheimer,G000583,2022-08-05,KO,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Kathy Manning,M001135,2022-08-05,UNH,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Kathy Manning,M001135,2022-08-05,XOM,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Kathy Manning,M001135,2022-08-05,PEP,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Dan Newhouse,N000189,2022-08-05,CRM,Purchase,"$1,001 - $15,000",Representatives,1001.0,R
James R. Langevin,L000559,2022-08-05,SQ,Sale,"$100,001 - $250,000",Representatives,100001.0,D
Kathy Manning,M001135,2022-08-05,META,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Dwight Evans,E000296,2022-08-05,PYPLV,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Josh Gottheimer,G000583,2022-08-05,TT,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Kathy Manning,M001135,2022-08-05,TSLA,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Kathy Manning,M001135,2022-08-05,NVDA,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Virginia Foxx,F000450,2022-08-05,MOS,Purchase,"$15,001 - $50,000",Representatives,15001.0,R
Dan Newhouse,N000189,2022-08-05,LLY,Sale,"$1,001 - $15,000",Representatives,1001.0,R
Kathy Manning,M001135,2022-08-05,CVX,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Dan Newhouse,N000189,2022-08-05,EL,Purchase,"$1,001 - $15,000",Representatives,1001.0,R
Kathy Manning,M001135,2022-08-05,AAPL,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Virginia Foxx,F000450,2022-08-05,GSK,Purchase,"$15,001 - $50,000",Representatives,15001.0,R
Dwight Evans,E000296,2022-08-05,LUV,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Kathy Manning,M001135,2022-08-05,JNJ,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Dwight Evans,E000296,2022-08-05,OKE,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Kathy Manning,M001135,2022-08-05,T,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Kathy Manning,M001135,2022-08-05,PG,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Kathy Manning,M001135,2022-08-05,BAC,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Kathy Manning,M001135,2022-08-05,BRK.B,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Dan Newhouse,N000189,2022-08-05,MPC,Sale,"$1,001 - $15,000",Representatives,1001.0,R
Kathy Manning,M001135,2022-08-05,HD,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Kathy Manning,M001135,2022-08-05,PFE,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Kathy Manning,M001135,2022-08-05,MRK,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Kathy Manning,M001135,2022-08-05,COST,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Kathy Manning,M001135,2022-08-05,AMZN,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Dan Newhouse,N000189,2022-08-05,AVGO,Purchase,"$1,001 - $15,000",Representatives,1001.0,R
John Curtis,C001114,2022-08-05,ULTA,Sale,"$1,001 - $15,000",Representatives,1001.0,R
Kathy Manning,M001135,2022-08-05,MSFT,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Dan Newhouse,N000189,2022-08-05,UNH,Purchase,"$1,001 - $15,000",Representatives,1001.0,R
Josh Gottheimer,G000583,2022-08-05,HALO,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Dan Newhouse,N000189,2022-08-05,LIN,Purchase,"$1,001 - $15,000",Representatives,1001.0,R
Virginia Foxx,F000450,2022-08-04,MOS,Purchase,"$1,001 - $15,000",Representatives,1001.0,R
Bob Gibbs,G000563,2022-08-04,LLY,Sale,"$1,001 - $15,000",Representatives,1001.0,R
Virginia Foxx,F000450,2022-08-04,FLNG,Purchase,"$15,001 - $50,000",Representatives,15001.0,R
Bob Gibbs,G000563,2022-08-04,WBD,Sale,"$1,001 - $15,000",Representatives,1001.0,R
Bob Gibbs,G000563,2022-08-04,DD,Sale,"$1,001 - $15,000",Representatives,1001.0,R
Virginia Foxx,F000450,2022-08-04,AA,Purchase,"$1,001 - $15,000",Representatives,1001.0,R
Virginia Foxx,F000450,2022-08-04,VGR,Purchase,"$1,001 - $15,000",Representatives,1001.0,R
Virginia Foxx,F000450,2022-08-04,HES,Purchase,"$1,001 - $15,000",Representatives,1001.0,R
Kathy Manning,M001135,2022-08-03,NOC,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Kathy Manning,M001135,2022-08-03,CE,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Kathy Manning,M001135,2022-08-03,BIIB,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Steve Cohen,C001068,2022-08-03,VRAI,Purchase,"$15,001 - $50,000",Representatives,15001.0,D
Lois Frankel,F000462,2022-08-03,NOC,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Kathy Manning,M001135,2022-08-03,DRI,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Kathy Manning,M001135,2022-08-03,PHM,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Kathy Manning,M001135,2022-08-03,WFC,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Kathy Manning,M001135,2022-08-03,DGX,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Kathy Manning,M001135,2022-08-03,REG,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Kathy Manning,M001135,2022-08-03,LBTYK,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Kathy Manning,M001135,2022-08-03,PRU,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Kathy Manning,M001135,2022-08-03,HCA,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Virginia Foxx,F000450,2022-08-03,HES,Purchase,"$15,001 - $50,000",Representatives,15001.0,R
Kathy Manning,M001135,2022-08-03,BBY,Sale,"$1,001 - $15,000",Representatives,1001.0,D
James R. Langevin,L000559,2022-08-03,DASH,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Kathy Manning,M001135,2022-08-03,T,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Lois Frankel,F000462,2022-08-03,GD,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Kathy Manning,M001135,2022-08-03,MPC,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Kathy Manning,M001135,2022-08-03,IP,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Kathy Manning,M001135,2022-08-03,C,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Kathy Manning,M001135,2022-08-03,LOW,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Debbie Dingell,D000624,2022-08-03,PG,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Earl Blumenauer,B000574,2022-08-03,CARR,Purchase,"$1,001 - $15,000",Representatives,1001.0,D
Kathy Manning,M001135,2022-08-03,KEY,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Kathy Manning,M001135,2022-08-03,LHX,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Kathy Manning,M001135,2022-08-03,BAC,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Kathy Manning,M001135,2022-08-03,MRO,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Tommy Tuberville,T000278,2022-08-03,PYPL,Sale (Full),"$15,001 - $50,000",Senate,15001.0,R
Kathy Manning,M001135,2022-08-03,UNP,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Kathy Manning,M001135,2022-08-03,CAH,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Kathy Manning,M001135,2022-08-03,AMCR,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Kathy Manning,M001135,2022-08-03,SYF,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Kathy Manning,M001135,2022-08-03,CHTR,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Michael K. Simpson,S001148,2022-08-03,TROW,Purchase,"$15,001 - $50,000",Representatives,15001.0,R
Kathy Manning,M001135,2022-08-03,FICO,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Kathy Manning,M001135,2022-08-03,DFS,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Kathy Manning,M001135,2022-08-03,HST,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Kathy Manning,M001135,2022-08-03,HPQ,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Virginia Foxx,F000450,2022-08-03,NFG,Purchase,"$1,001 - $15,000",Representatives,1001.0,R
Kathy Manning,M001135,2022-08-03,KMI,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Kathy Manning,M001135,2022-08-03,ORCL,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Kathy Manning,M001135,2022-08-03,SPG,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Earl Blumenauer,B000574,2022-08-03,INTC,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Kathy Manning,M001135,2022-08-03,COF,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Kathy Manning,M001135,2022-08-03,APA,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Kathy Manning,M001135,2022-08-03,DVN,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Kathy Manning,M001135,2022-08-03,AMGN,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Kathy Manning,M001135,2022-08-03,IT,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Kathy Manning,M001135,2022-08-03,L,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Steve Cohen,C001068,2022-08-03,GOLD,Purchase,"$15,001 - $50,000",Representatives,15001.0,D
Kathy Manning,M001135,2022-08-03,LUMN,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Kathy Manning,M001135,2022-08-03,BK,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Kathy Manning,M001135,2022-08-03,BLDR,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Kathy Manning,M001135,2022-08-03,MO,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Tommy Tuberville,T000278,2022-08-03,CLF,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R
Kathy Manning,M001135,2022-08-03,WY,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Kathy Manning,M001135,2022-08-03,MCK,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Steve Cohen,C001068,2022-08-03,DURA,Purchase,"$15,001 - $50,000",Representatives,15001.0,D
Kathy Manning,M001135,2022-08-03,BXP,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Kathy Manning,M001135,2022-08-03,DPZ,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Kathy Manning,M001135,2022-08-03,AZO,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Kathy Manning,M001135,2022-08-03,CCK,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Kathy Manning,M001135,2022-08-03,MET,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Kathy Manning,M001135,2022-08-03,WHR,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Kathy Manning,M001135,2022-08-03,AMP,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Kathy Manning,M001135,2022-08-03,CMA,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Kathy Manning,M001135,2022-08-03,AIG,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Kathy Manning,M001135,2022-08-03,EMN,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Kathy Manning,M001135,2022-08-03,NVR,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Steve Cohen,C001068,2022-08-03,OZKAP,Purchase,"$15,001 - $50,000",Representatives,15001.0,D
Kathy Manning,M001135,2022-08-03,MAS,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Josh Gottheimer,G000583,2022-08-02,SGSOY,Sale,"$1,001 - $15,000",Representatives,1001.0,D
Brian Babin,B001291,2022-08-02,FIP,Purchase,"$1,001 - $15,000",Representatives,1001.0,R
Virginia Foxx,F000450,2022-08-02,NFG,Purchase,"$15,001 - $50,000",Representatives,15001.0,R
Virginia Foxx,F000450,2022-08-02,AA,Purchase,"$1,001 - $15,000",Representatives,1001.0,R
Virginia Foxx,F000450,2022-08-02,KNOP,Sale,"$50,001 - $100,000",Representatives,50001.0,R
Tommy Tuberville,T000278,2022-08-01,JHCBX,Sale (Full),"$15,001 - $50,000",Senate,15001.0,R
Virginia Foxx,F000450,2022-08-01,FLNG,Purchase,"$15,001 - $50,000",Representatives,15001.0,R
Tommy Tuberville,T000278,2022-08-01,PCNNX,Sale (Full),"$15,001 - $50,000",Senate,15001.0,R
Tommy Tuberville,T000278,2022-08-01,XLC,Sale (Full),"$15,001 - $50,000",Senate,15001.0,R
Virginia Foxx,F000450,2022-08-01,MOS,Purchase,"$1,001 - $15,000",Representatives,1001.0,R
Shri Thanedar,T000488,2022-08-01,TSLA,Sale,"$50,001 - $100,000",Representatives,50001.0,D
Tommy Tuberville,T000278,2022-08-01,OC,Purchase,"$15,001 - $50,000",Senate,15001.0,R
Virginia Foxx,F000450,2022-08-01,KMI,Sale,"$50,001 - $100,000",Representatives,50001.0,R
Tommy Tuberville,T000278,2022-08-01,TSCO,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R
Tommy Tuberville,T000278,2022-08-01,ORCL,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R
Tommy Tuberville,T000278,2022-08-01,IDV,Purchase,"$15,001 - $50,000",Senate,15001.0,R
Tommy Tuberville,T000278,2022-08-01,MUB,Purchase,"$50,001 - $100,000",Senate,50001.0,R
Tommy Tuberville,T000278,2022-08-01,EFAV,Sale (Full),"$15,001 - $50,000",Senate,15001.0,R
James R. Langevin,L000559,2022-08-01,SQ,Sale,"$1,001 - $15,000",Representatives,1001.0,D
